player_id,event_date,event_game,score,medal,team
32625,2025-01-10,Diving,1,bronze,Autumn
32625,2025-01-10,Shooting,3,gold,Autumn
44055,2025-01-10,Racing,3,gold,Autumn
44055,2025-01-10,Swimming,3,gold,Autumn
44055,2025-01-10,Flying,1,bronze,Autumn
44055,2025-01-10,Skydiving,1,bronze,Autumn
44055,2025-01-10,Diving,3,gold,Autumn
44055,2025-01-10,Shooting,2,silver,Autumn
69984,2025-01-10,Racing,0,not played,Autumn
69984,2025-01-10,Swimming,1,bronze,Autumn
69984,2025-01-10,Flying,0,not played,Autumn
69984,2025-01-10,Skydiving,1,bronze,Autumn
69984,2025-01-10,Diving,3,gold,Autumn
69984,2025-01-10,Shooting,3,gold,Autumn
40922,2025-01-10,Racing,2,silver,Autumn
40922,2025-01-10,Swimming,0,not played,Autumn
40922,2025-01-10,Flying,2,silver,Autumn
40922,2025-01-10,Skydiving,1,bronze,Autumn
40922,2025-01-10,Diving,2,silver,Autumn
40922,2025-01-10,Shooting,1,bronze,Autumn
33379,2025-01-10,Racing,3,gold,Winter
33379,2025-01-10,Swimming,3,gold,Winter
33379,2025-01-10,Flying,0,not played,Winter
33379,2025-01-10,Skydiving,3,gold,Winter
33379,2025-01-10,Diving,2,silver,Winter
33379,2025-01-10,Shooting,0,not played,Winter
77915,2025-01-10,Racing,2,silver,Winter
77915,2025-01-10,Swimming,2,silver,Winter
77915,2025-01-10,Flying,2,silver,Winter
77915,2025-01-10,Skydiving,2,silver,Winter
77915,2025-01-10,Diving,2,silver,Winter
77915,2025-01-10,Shooting,3,gold,Winter
19362,2025-01-10,Racing,0,not played,Winter
19362,2025-01-10,Swimming,1,bronze,Winter
19362,2025-01-10,Flying,0,not played,Winter
19362,2025-01-10,Skydiving,0,not played,Winter
19362,2025-01-10,Diving,2,silver,Winter
19362,2025-01-10,Shooting,0,not played,Winter
57456,2025-01-10,Racing,2,silver,Winter
57456,2025-01-10,Swimming,2,silver,Winter
57456,2025-01-10,Flying,1,bronze,Winter
57456,2025-01-10,Skydiving,3,gold,Winter
57456,2025-01-10,Diving,3,gold,Winter
57456,2025-01-10,Shooting,0,not played,Winter
71598,2025-01-10,Racing,3,gold,Winter
71598,2025-01-10,Swimming,3,gold,Winter
71598,2025-01-10,Flying,0,not played,Winter
71598,2025-01-10,Skydiving,2,silver,Winter
71598,2025-01-10,Diving,2,silver,Winter
71598,2025-01-10,Shooting,2,silver,Winter
76864,2025-01-10,Racing,3,gold,Winter
76864,2025-01-10,Swimming,2,silver,Winter
76864,2025-01-10,Flying,1,bronze,Winter
76864,2025-01-10,Skydiving,1,bronze,Winter
76864,2025-01-10,Diving,1,bronze,Winter
76864,2025-01-10,Shooting,2,silver,Winter
14403,2025-01-10,Racing,2,silver,Winter
14403,2025-01-10,Swimming,1,bronze,Winter
14403,2025-01-10,Flying,0,not played,Winter
14403,2025-01-10,Skydiving,1,bronze,Winter
14403,2025-01-10,Diving,3,gold,Winter
14403,2025-01-10,Shooting,3,gold,Winter
79665,2025-01-10,Racing,0,not played,Winter
79665,2025-01-10,Swimming,3,gold,Winter
79665,2025-01-10,Flying,1,bronze,Winter
79665,2025-01-10,Skydiving,3,gold,Winter
79665,2025-01-10,Diving,0,not played,Winter
79665,2025-01-10,Shooting,3,gold,Winter
74263,2025-01-10,Racing,0,not played,Winter
74263,2025-01-10,Swimming,2,silver,Winter
74263,2025-01-10,Flying,0,not played,Winter
74263,2025-01-10,Skydiving,0,not played,Winter
74263,2025-01-10,Diving,3,gold,Winter
74263,2025-01-10,Shooting,3,gold,Winter
83113,2025-01-10,Racing,1,bronze,Winter
83113,2025-01-10,Swimming,3,gold,Winter
83113,2025-01-10,Flying,3,gold,Winter
83113,2025-01-10,Skydiving,3,gold,Winter
83113,2025-01-10,Diving,2,silver,Winter
83113,2025-01-10,Shooting,1,bronze,Winter
39549,2025-01-10,Racing,3,gold,Winter
39549,2025-01-10,Swimming,3,gold,Winter
39549,2025-01-10,Flying,2,silver,Winter
39549,2025-01-10,Skydiving,1,bronze,Winter
39549,2025-01-10,Diving,2,silver,Winter
39549,2025-01-10,Shooting,1,bronze,Winter
89936,2025-01-10,Racing,0,not played,Winter
89936,2025-01-10,Swimming,0,not played,Winter
89936,2025-01-10,Flying,0,not played,Winter
89936,2025-01-10,Skydiving,3,gold,Winter
89936,2025-01-10,Diving,1,bronze,Winter
89936,2025-01-10,Shooting,0,not played,Winter
88146,2025-01-10,Racing,1,bronze,Winter
88146,2025-01-10,Swimming,2,silver,Winter
88146,2025-01-10,Flying,2,silver,Winter
88146,2025-01-10,Skydiving,1,bronze,Winter
88146,2025-01-10,Diving,2,silver,Winter
88146,2025-01-10,Shooting,2,silver,Winter
29969,2025-01-10,Racing,3,gold,Winter
29969,2025-01-10,Swimming,2,silver,Winter
29969,2025-01-10,Flying,1,bronze,Winter
29969,2025-01-10,Skydiving,2,silver,Winter
29969,2025-01-10,Diving,1,bronze,Winter
29969,2025-01-10,Shooting,2,silver,Winter
67783,2025-01-10,Racing,3,gold,Winter
67783,2025-01-10,Swimming,0,not played,Winter
67783,2025-01-10,Flying,2,silver,Winter
67783,2025-01-10,Skydiving,3,gold,Winter
67783,2025-01-10,Diving,2,silver,Winter
67783,2025-01-10,Shooting,0,not played,Winter
37247,2025-01-10,Racing,0,not played,Winter
37247,2025-01-10,Swimming,2,silver,Winter
37247,2025-01-10,Flying,1,bronze,Winter
37247,2025-01-10,Skydiving,1,bronze,Winter
37247,2025-01-10,Diving,2,silver,Winter
37247,2025-01-10,Shooting,3,gold,Winter
